,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ENCODERS,BLUE CABLE,YELLOW CABLE,,,
LEFT ENCODER,CN8: PA_0,CN8: PA_1,,,
,T2_CH1,T2_CH2,,,
RIGHT ENCODER,CN5: PA_9,CN5:PA_8,,,
,T1_CH2,T1_CH1,,,
,,,,,
MOTORS,GREEN CABLE: PWM,BLUE CABLE: DIR,YELLOW CABLE: SLP,,
LEFT MOTORS,CN5: PB_9,CN8: PC_0,CN8: PC_1,,
,T4_CH4,,,,
RIGHT MOTORS,CN5: PB_8,CN8: PC_2,CN8: PC_3,,
,T4_CH3,,,,
,,,,,
Line Sensor,,,,,
Signal Name,MCU Pin,V,GND,,
OUT0,PA4,3.3,GND,,
OUT1,PA5,,,,
OUT2,PA6,,,,
OUT3,PA7,,,,
OUT4,PB0,,,,
OUT5,PB1,,,,
OUT6,PC4,,,,
OUT7,PC5,,,,
,,,,,
IMU,,,,,
Signal,Nucleo MCU Pin,Cable Color,IMU Pin,,
SDA,PB14,YEL,SDA,,
SCL,PB13,BLU,SCL,,
INT / AUX (optional),PC10,GRN,INT (if used),,
Power,5V,RED,VIN / VCC,,
Ground,GND,BLK,GND,,
,,,,,
,,,,,
